date,adj close,close,high,low,open,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
6/11/2021,1877.400024,1877.400024,1902.300049,1875.199951,1900.900024,349,1887.828561,1860.180005,1790.618891,-0.008869141,0.009353307,0.007537835,54.72293135,19.72403008,24.93395265,1918.242879,1853.797124
6/14/2021,1864,1864,1866.599976,1846.5,1866.199951,41,1886.799997,1863.403337,1790.972225,-0.007137544,0.006410738,0.007710553,49.39191872,16.43341957,23.23384603,1913.119794,1861.530206
6/15/2021,1854.5,1854.5,1867.199951,1854.400024,1866.400024,78,1881.757132,1865.506669,1791.701114,-0.005096567,0.00457208,0.007474351,45.97258139,12.91019573,21.16911597,1914.96937,1858.38063
6/16/2021,1859.5,1859.5,1860.099976,1809.199951,1859.400024,117,1876.428554,1868.296667,1792.241113,0.002696145,0.004347843,0.007240359,48.01251458,10.40157084,19.01560694,1915.862799,1856.657196
6/17/2021,1773.800049,1773.800049,1823.300049,1769.599976,1811.800049,1135,1859.514282,1867.953337,1791.595558,-0.046087632,0.016894606,0.011287995,28.29354157,1.48112422,15.5087104,1938.202457,1823.567538
6/18/2021,1767.900024,1767.900024,1792.400024,1767.900024,1775.699951,354,1841.614293,1866.366671,1790.846669,-0.003326206,0.016589962,0.010790164,27.457461,-5.995365809,11.20789516,1950.744694,1799.635299
6/21/2021,1781.800049,1781.800049,1785.199951,1766.800049,1768.800049,38,1825.557164,1864.72334,1790.193336,0.007862449,0.01754151,0.010768984,32.51689912,-10.67585758,6.831144611,1956.249039,1784.640963
6/22/2021,1776.300049,1776.300049,1786.900024,1775.900024,1783.400024,101,1811.11431,1862.683341,1789.653337,-0.003086766,0.017660574,0.010744379,31.57840504,-14.65999378,2.532916933,1959.78034,1770.27967
6/23/2021,1782.300049,1782.300049,1793.199951,1780.599976,1780.699951,136,1799.442889,1860.896676,1789.216671,0.003377808,0.018160443,0.010775073,33.82232401,-17.13577008,-1.400820469,1959.208275,1759.271742
6/24/2021,1775.599976,1775.599976,1786.400024,1775.599976,1778.900024,78,1788.171456,1859.330009,1788.976671,-0.003759229,0.018181466,0.010723309,32.53901467,-19.4146802,-5.003592414,1957.266897,1748.643113
6/25/2021,1776.599976,1776.599976,1788,1775.199951,1777.699951,35,1776.328596,1857.756673,1789.037782,0.00056319,0.018027755,0.010722872,32.94794108,-20.89912909,-8.182699749,1954.42307,1739.576942
6/28/2021,1779.599976,1779.599976,1779.599976,1779.599976,1779.599976,888,1777.157157,1855.813338,1789.10667,0.001688619,0.004272887,0.010612957,34.23585721,-21.5846759,-10.86309498,1948.934483,1732.775527
6/29/2021,1762.800049,1762.800049,1777.099976,1752.099976,1776.800049,419,1776.428589,1852.32334,1788.962226,-0.009440283,0.005598509,0.010208794,30.68178018,-23.21597111,-13.3336702,1943.090529,1724.609483
6/30/2021,1770.800049,1770.800049,1770.800049,1759.199951,1761.099976,51,1774.85716,1849.090007,1788.563338,0.004538235,0.004875188,0.010269921,34.18553929,-23.59130529,-15.38519722,1934.051536,1719.978481
7/1/2021,1775.900024,1775.900024,1781.199951,1768.800049,1775.699951,44,1774.800014,1845.576672,1788.246672,0.00288004,0.004944961,0.010169428,36.39281118,-23.20968809,-16.95009539,1929.479131,1715.020893
7/2/2021,1782.599976,1782.599976,1787.900024,1778.300049,1778.699951,23,1774.842861,1842.270003,1788.093338,0.003772707,0.004992234,0.010214867,39.27416269,-22.11173334,-17.98242298,1920.74081,1713.039207
7/6/2021,1793.5,1793.5,1809.800049,1786.699951,1786.699951,332,1777.400007,1839.496672,1788.30556,0.006114678,0.005134489,0.010312919,43.73930829,-20.13000921,-18.41194023,1909.247186,1714.202826
7/7/2021,1801.5,1801.5,1808.400024,1797.199951,1798.699951,244,1780.957153,1836.726672,1789.121115,0.004460552,0.005233251,0.010317776,46.82946391,-17.70979788,-18.27151176,1897.489386,1716.890631
7/8/2021,1799.599976,1799.599976,1818.5,1797,1797,148,1783.814296,1833.443339,1789.977782,-0.00105469,0.005361778,0.010189519,46.1806956,-15.76336876,-17.76988316,1883.740224,1721.279796
